Color	Gene	Number
turquoise	0610007P14Rik	1
turquoise	0610009B22Rik	1
turquoise	0610009O20Rik	1
turquoise	0610010F05Rik	1
turquoise	0610010K14Rik	1
turquoise	0610011F06Rik	1
blue	0610012G03Rik	2
turquoise	0610030E20Rik	1
turquoise	0610037L13Rik	1
turquoise	0610040J01Rik	1
turquoise	1110001J03Rik	1
turquoise	1110004E09Rik	1
turquoise	1110004F10Rik	1
blue	1110008F13Rik	2
turquoise	1110008L16Rik	1
turquoise	1110008P14Rik	1
turquoise	1110012L19Rik	1
turquoise	1110032A03Rik	1
turquoise	1110034G24Rik	1
turquoise	1110037F02Rik	1
turquoise	1110038F14Rik	1
turquoise	1110051M20Rik	1
turquoise	1110059E24Rik	1
turquoise	1110059G10Rik	1
blue	1110065P20Rik	2
turquoise	1190002N15Rik	1
turquoise	1190007I07Rik	1
turquoise	1300017J02Rik	1
turquoise	1500011B03Rik	1
turquoise	1500011K16Rik	1
turquoise	1600002H07Rik	1
blue	1600002K03Rik	2
turquoise	1600012H06Rik	1
blue	1600014C10Rik	2
turquoise	1600029O15Rik	1
turquoise	1700001C19Rik	1
blue	1700001L19Rik	2
turquoise	1700007E05Rik	1
turquoise	1700008O03Rik	1
blue	1700010I14Rik	2
blue	1700013F07Rik	2
blue	1700016C15Rik	2
turquoise	1700016D06Rik	1
blue	1700017B05Rik	2
turquoise	1700017D01Rik	1
blue	1700019D03Rik	2
turquoise	1700021F05Rik	1
turquoise	1700024J04Rik	1
blue	1700025G04Rik	2
blue	1700028B04Rik	2
blue	1700028J19Rik	2
blue	1700028K03Rik	2
blue	1700029F12Rik	2
blue	1700029J07Rik	2
turquoise	1700030K09Rik	1
turquoise	1700034J05Rik	1
blue	1700037C18Rik	2
turquoise	1700037H04Rik	1
blue	1700040L02Rik	2
turquoise	1700047I17rik2	1
turquoise	1700048O20Rik	1
turquoise	1700049G17Rik	1
blue	1700057G04Rik	2
blue	1700066M21Rik	2
blue	1700073E17Rik	2
turquoise	1700084J12Rik	1
turquoise	1700088E04Rik	1
turquoise	1700093K21Rik	1
turquoise	1700109H08Rik	1
blue	1700112E06Rik	2
turquoise	1700123O20Rik	1
turquoise	1700128F08Rik	1
turquoise	1810009A15Rik	1
turquoise	1810010H24Rik	1
blue	1810011O10Rik	2
turquoise	1810013L24Rik	1
blue	1810018F18Rik	2
blue	1810022K09Rik	2
blue	1810024B03Rik	2
turquoise	1810026J23Rik	1
turquoise	1810030O07Rik	1
turquoise	1810032O08Rik	1
blue	1810037I17Rik	2
turquoise	1810041L15Rik	1
turquoise	1810043G02Rik	1
turquoise	1810043H04Rik	1
turquoise	1810055G02Rik	1
blue	1810062G17Rik	2
blue	2010005H15Rik	2
blue	2010107E04Rik	2
turquoise	2010107G12Rik	1
turquoise	2010107G23Rik	1
blue	2010109A12Rik	2
blue	2010109I03Rik	2
turquoise	2010111I01Rik	1
turquoise	2010300C02Rik	1
turquoise	2010315B03Rik	1
blue	2200002D01Rik	2
blue	2210010C04Rik	2
blue	2210011C24Rik	2
turquoise	2210013O21Rik	1
turquoise	2210016F16Rik	1
turquoise	2210016L21Rik	1
turquoise	2210017I01Rik	1
turquoise	2210404O09Rik	1
turquoise	2210408I21Rik	1
blue	2210418O10Rik	2
turquoise	2300009A05Rik	1
turquoise	2310007B03Rik	1
turquoise	2310009B15Rik	1
turquoise	2310011J03Rik	1
blue	2310022A10Rik	2
turquoise	2310022B05Rik	1
turquoise	2310030G06Rik	1
turquoise	2310033P09Rik	1
blue	2310035C23Rik	2
turquoise	2310036O22Rik	1
turquoise	2310039H08Rik	1
blue	2310057M21Rik	2
blue	2310061I04Rik	2
turquoise	2410002F23Rik	1
turquoise	2410004B18Rik	1
turquoise	2410004P03Rik	1
blue	2410015M20Rik	2
blue	2410016O06Rik	2
turquoise	2410024N13Rik	1
turquoise	2410089E03Rik	1
turquoise	2410131K14Rik	1
blue	2410141K09Rik	2
turquoise	2510002D24Rik	1
turquoise	2510039O18Rik	1
turquoise	2610001J05Rik	1
turquoise	2610002M06Rik	1
blue	2610005L07Rik	2
turquoise	2610008E11Rik	1
blue	2610020H08Rik	2
turquoise	2610021A01Rik	1
turquoise	2610028H24Rik	1
turquoise	2610044O15rik8	1
turquoise	2610301B20Rik	1
blue	2610305D13Rik	2
turquoise	2610318N02Rik	1
turquoise	2610507B11Rik	1
turquoise	2610524H06Rik	1
turquoise	2610528J11Rik	1
turquoise	2700029M09Rik	1
turquoise	2700049A03Rik	1
turquoise	2700060E02Rik	1
turquoise	2700062C07Rik	1
turquoise	2700081O15Rik	1
turquoise	2700094K13Rik	1
turquoise	2700097O09Rik	1
turquoise	2700099C18Rik	1
turquoise	2810004N23Rik	1
turquoise	2810006K23Rik	1
blue	2810021J22Rik	2
turquoise	2810025M15Rik	1
blue	2810039B14Rik	2
turquoise	2810403A07Rik	1
turquoise	2810417H13Rik	1
turquoise	2810428I15Rik	1
blue	2810459M11Rik	2
blue	2810474O19Rik	2
turquoise	2900026A02Rik	1
blue	3000002C10Rik	2
turquoise	3010026O09Rik	1
blue	3110001I22Rik	2
turquoise	3110002H16Rik	1
turquoise	3110009E18Rik	1
turquoise	3110021N24Rik	1
blue	3110035E14Rik	2
turquoise	3110040N11Rik	1
turquoise	3110043O21Rik	1
blue	3110052M02Rik	2
turquoise	3110053B16Rik	1
turquoise	3110062M04Rik	1
turquoise	3110082I17Rik	1
blue	3300002I08Rik	2
turquoise	3632451O06Rik	1
blue	3830403N18Rik	2
turquoise	3830406C13Rik	1
turquoise	4833420G17Rik	1
turquoise	4833439L19Rik	1
blue	4921511H03Rik	2
blue	4921517D22Rik	2
turquoise	4921524J17Rik	1
blue	4921536K21Rik	2
turquoise	4930402H24Rik	1
blue	4930404N11Rik	2
turquoise	4930427A07Rik	1
blue	4930430A15Rik	2
turquoise	4930430F08Rik	1
turquoise	4930431P19Rik	1
blue	4930432E11Rik	2
blue	4930444P10Rik	2
blue	4930447C04Rik	2
blue	4930448K20Rik	2
